"id";"COMPOSIZIONE";"cl";"SEL";"ncol";"ccol";"nart";"Descrizione";"Collezione";"PRE";"PREC";"PRO";"PROC";"VEND";"VENDC";"LANC";"CONQ";"VA";"PIU";"DAOF";"FIL";"COL";"LF";"CQF";"VAS";"DAORDFINALE";"query per fronitore_PF";"MAGCF";"MAGC";"CLIENTE1";"ORDINE1";"CLIENTE2";"ORDINE2";"CLIENTE3";"ORDINE3";"CLIENTE4";"ORDINE4";"ORDTOT";"CARICA";"ORD";"ORM";"ORS";"RES";"OT";"SommaDiDAARR";"CARICAF";"ORDF";"ORMF";"ORSF";"RESF";"OTF";"DAARF";"clie";"Espr1";"cl2";"DAARFORN";"OTFORN";"CARICAFORN";"PV";"PPRO";"PPRE";"pv1";"ppre1"
"A5.FAC.006.B06MMFNC";"70%WO + 30%WS";"KALIQUE-CN";-1;8832547;"A5.FAC.006.B06";8832544;"70%wo 30%ws nm2/26";"MMFNC";855,02;1962,00;855,02;1962,00;855,02;1962,00;;;;0,00;856,02;"A5.FAC.006";"B06";0,00;0,00;0,00;3372,28;0,00;0,00;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;"KALIQUE-CN";;;;830,11;830,11;830,11;830,11;830,11
"A5.FAC.006.EA3MMFNC";"70%WO + 30%WS";"KALIQUE-CN";-1;8832552;"A5.FAC.006.EA3";8832544;"70%wo 30%ws nm2/26";"MMFNC";1374,14;2112,00;1374,14;2112,00;1374,14;2112,00;;;;0,00;1375,14;"A5.FAC.006";"EA3";0,00;0,00;0,00;3372,28;0,00;0,00;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;"KALIQUE-CN";;;;98,75;98,75;98,75;98,75;98,75
"A5.FAC.006.K25MMFNC";"70%WO + 30%WS";"KALIQUE-CN";-1;8832564;"A5.FAC.006.K25";8832544;"70%wo 30%ws nm2/26";"MMFNC";521,39;802,00;521,39;802,00;521,39;802,00;;;;0,00;522,39;"A5.FAC.006";"K25";0,00;0,00;0,00;3372,28;0,00;0,00;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;"KALIQUE-CN";;;;123,24;123,24;123,24;123,24;123,24
"A5.FAC.006.M67MMFNC";"70%WO + 30%WS";"KALIQUE-CN";-1;8905113;"A5.FAC.006.M67";8832544;"70%wo 30%ws nm2/26";"MMFNC";607,37;1145,00;607,37;1145,00;607,37;1145,00;;;;0,00;608,37;"A5.FAC.006";"M67";0,00;0,00;0,00;3372,28;0,00;0,00;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;"KALIQUE-CN";;;;57,58;57,58;57,58;57,58;57,58
"A5.FAC.006.N99MMFNC";"70%WO + 30%WS";"KALIQUE-CN";-1;8832570;"A5.FAC.006.N99";8832544;"70%wo 30%ws nm2/26";"MMFNC";9,35;1513,00;9,35;1513,00;9,35;1513,00;;;;0,00;10,35;"A5.FAC.006";"N99";0,00;0,00;0,00;3372,28;0,00;0,00;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;"KALIQUE-CN";;;;9,07;9,07;9,07;9,07;9,07
"A5.FAC.007.N99MIBNC";"67%PA + 33%MZ";"SHI-KWAN";-1;8833474;"A5.FAC.007.N99";8833471;"Stardust nm1/200";"MIBNC";11,24;350,00;11,24;350,00;11,24;350,00;;;;0,00;12,24;"A5.FAC.007";"N99";0,00;0,00;0,00;13,56;0,00;0,00;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;"SHI-KWAN";210,00;410,00;206,30;;;;;
"A5.FAC.007.NG2MIBNC";"67%PA + 33%MZ";"SHI-KWAN";-1;8833475;"A5.FAC.007.NG2";8833471;"Stardust nm1/200";"MIBNC";0,31;10,00;0,31;10,00;0,31;10,00;;;;0,00;1,31;"A5.FAC.007";"NG2";0,00;0,00;0,00;13,56;0,00;0,00;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;"SHI-KWAN";210,00;410,00;206,30;;;;;
"A5.FAC.010.B12MIBNC";"70%WO + 30%SE";"GIADAFASHION";-1;8833477;"A5.FAC.010.B12";8833476;"70%wo 30%se nm2/60";"MIBNC";9,72;66,00;9,72;66,00;9,72;66,00;;;;0,00;10,72;"A5.FAC.010";"B12";0,00;0,00;0,00;10,72;0,00;0,00;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;"GIADAFASHION";;;;;;;;
"A5.FAC.011.N99MORNC";"65%PL + 35%MZ";"SIGN";-1;8853326;"A5.FAC.011.N99";8845371;"Lurex nm1/120";"MORNC";0,99;121,00;0,90;110,00;0,59;72,00;;;;0,00;1,90;"A5.FAC.011";"N99";0,00;0,00;0,00;4,62;0,00;0,00;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;"SIGN";;;;;;;;
"A5.FAC.011.NE8MORNC";"65%PL + 35%MZ";"SIGN";-1;8845372;"A5.FAC.011.NE8";8845371;"Lurex nm1/120";"MORNC";1,77;233,00;1,72;226,00;1,27;167,00;;;;0,00;2,72;"A5.FAC.011";"NE8";0,00;0,00;0,00;4,62;0,00;0,00;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;;"SIGN";;;;;;;;
